prix,Kilométrage,Année,Transmission,Carburant,CV,premierMain,marque,modele
225000,109000,2020,Automatique,Diesel,8,1,CITROEN,C5
255000,119000,2018,Automatique,Diesel,8,1,VOLKSWAGEN,TIGUAN
185000,159000,2013,Automatique,Diesel,12,1,LANCIA,THEMA
250000,129000,2010,Automatique,Essence,24,0,PORSCHE,PANAMERA
99000,210000,2010,Manuelle,Diesel,10,0,VOLKSWAGEN,TOUAREG
226000,4000,2024,Manuelle,Diesel,6,1,FIAT,DOBLO
308000,9000,2023,Automatique,Hybride,8,1,ALFA-ROMEO,AUTRE
199000,54000,2019,Automatique,Essence,10,1,TOYOTA,C-HR
158000,29000,2023,Manuelle,Diesel,6,0,RENAULT,EXPRESS
236900,14000,2024,Automatique,Hybride,8,1,JEEP,RENEGADE
364000,44000,2021,Automatique,Diesel,8,1,KIA,SORENTO
162000,24000,2024,Automatique,Essence,7,0,FIAT,500
162000,14000,2022,Automatique,Essence,7,1,FIAT,500
310000,44000,2023,Automatique,Hybride,8,1,JEEP,COMPASS
415000,129000,2019,Automatique,Diesel,8,0,VOLKSWAGEN,TIGUAN
275000,109000,2018,Automatique,Diesel,8,0,AUDI,A6
169000,79000,2023,Manuelle,Diesel,6,1,DACIA,DUSTER
139000,39000,2023,Manuelle,Diesel,5,1,FIAT,FIORINO
176000,49000,2023,Manuelle,Diesel,6,1,PEUGEOT,208
149000,34000,2023,Automatique,Essence,7,1,HYUNDAI,I10
298000,74000,2020,Automatique,Diesel,6,1,HYUNDAI,TUCSON
149000,74000,2021,Automatique,Essence,7,1,FIAT,500
148000,129000,2021,Automatique,Diesel,6,0,HYUNDAI,ACCENT
103000,89000,2016,Manuelle,Essence,8,1,OPEL,ADAM
139000,109000,2021,Manuelle,Diesel,6,0,RENAULT,CLIO
145000,45000,2014,Automatique,Essence,8,0,ABARTH,595
100000,129000,2017,Manuelle,Diesel,6,0,FORD,FIESTA
93000,79000,2017,Manuelle,Diesel,6,0,FIAT,500
115000,249000,2010,Automatique,Diesel,12,0,LAND-ROVER,RANGE ROVER SPORT
